Name,Year,Location,Vendeur,Owner_type,Kilometers_Driven,Fuel_Type,Transmission,Puissance_fiscale,Puissance_dynamique,Price
VOLKSWAGEN Tiguan 2012,2012,Beni Mellal,Particulier,Seconde,190.000 km,Diesel,Automatique,8 cv ,110 ch ,183.000 DH
PEUGEOT 208 2017,2017,Kénitra,Particulier,Seconde,97.300 km,Diesel,Manuelle,6 cv ,75 ch ,113.000 DH
CUPRA Formentor 2022,2022,Tanger,Particulier,Seconde,5.000 km,Essence,Automatique,11 cv ,310 ch ,620.000 DH
MERCEDES Classe C 2019,2019,Salé,Particulier,Première,98.000 km,Diesel,Automatique,9 cv ,170 ch ,270.000 DH
FORD EcoSport 2019,2019,Sidi Kacem,Particulier,Première,61.000 km,Diesel,Manuelle,6 cv ,100 ch ,168.000 DH
FIAT Tipo 2018,2018,Larache,Particulier,Première,85.000 km,Diesel,Manuelle,5 cv ,95 ch ,108.000 DH
FIAT 500 2014,2014,Casablanca,Particulier,Première,88.000 km,Essence,Manuelle,7 cv ,69 ch ,74.000 DH
BMW Série 5 2018,2018,Rabat,Particulier,Seconde,95.000 km,Diesel,Automatique,8 cv ,190 ch ,380.000 DH
ALFA ROMEO 159 2008,2008,Kénitra,Particulier,Seconde,137.280 km,Essence,Manuelle,11 cv ,160 ch ,40.000 DH
ABARTH 595 2020,2020,Casablanca,Particulier,Seconde,60.000 km,Essence,Automatique,10 cv ,- ,210.000 DH
MINI 3 portes 2012,2012,Marrakech,Particulier,Seconde,135.000 km,Essence,Automatique,8 cv ,149 ch ,128.000 DH
ALFA ROMEO Giulia 2017,2017,Casablanca,Particulier,Seconde,195.000 km,Diesel,Automatique,8 cv ,150 ch ,160.000 DH
TOYOTA Corolla Sport 2021,2021,Rabat,Particulier,Première,40.500 km,Hybride,Automatique,10 cv ,122 ch ,200.000 DH
VOLKSWAGEN Jetta 2010,2010,Agadir,Particulier,Seconde,230.000 km,Diesel,Manuelle,8 cv ,110 ch ,94.000 DH
NISSAN Qashqai 2018,2018,Salé,Particulier,Première,48.000 km,Diesel,Manuelle,6 cv ,110 ch ,190.000 DH
CITROEN C3 2009,2009,Fès,Particulier,Première,25.000 km,Essence,Manuelle,7 cv ,70 ch ,65.000 DH
MINI 3 portes 2003,2003,Casablanca,Particulier,Seconde,45.000 km,Essence,Manuelle,9 cv ,164 ch ,69.000 DH
DACIA Sandero 2017,2017,Mohammadia,Particulier,Première,76.026 km,Diesel,Manuelle,6 cv ,85 ch ,125.000 DH
FIAT Punto 2014,2014,Casablanca,Particulier,Seconde,107.000 km,Diesel,Manuelle,05 cv ,110 ch ,72.000 DH
PEUGEOT 3008 2020,2020,Rabat,Particulier,Première,47.000 km,Diesel,Automatique,8 cv ,150 ch ,285.000 DH
